Species,corMxPA,AUC,TSS,beta,AUC.CV,TSS.CV
sa01,0.6219771,0.8622871,0.1724112,0.6915089,0.8414228,0.01883394
sa22,0.9156544,0.8694639,0.09999738,0.9694727,0.982822,0.01043518
sa17,0.7767632,0.8494048,0.1499976,1.107923,0.9942325,0.007837113
sa06,0.81987,0.973399,0.08536352,1.3566,0.9835796,0.006932303
sa27,0.8811281,0.8411458,0.1142836,0.8592832,0.8109054,0.005639254
sa12,0.9759351,0.9007299,0.156247,1.273534,0.9334099,0.03478326
sa01,0.4928981,0.7617729,0.1463561,0.9641868,0.8309852,0.01823786
sa06,0.6801209,0.8630542,0.06701088,0.94815,0.98751,0.007803865
sa22,0.9024871,0.8018816,0.1428544,0.8223916,0.9684684,0.01013461
sa17,0.8803675,0.9143836,0.08955025,0.8622071,0.9951981,0.009894185
sa27,0.8057277,0.7801088,0.1216194,1.049157,0.7930887,0.005524179
sa12,0.9552774,0.8286749,0.1458304,1.065808,0.9315819,0.03620384
sa01,0.6464472,0.8166667,0.1333307,0.6396994,0.8454199,0.019198
sa06,0.8488777,0.9054054,0.04938048,0.5544247,0.9866996,0.006284844
sa27,0.5236373,0.6935764,0.08177196,0.9552874,0.7362748,0.004802427
sa17,0.6655063,0.8608273,0.1911346,0.8103907,0.9969001,0.009298344
sa22,0.9708182,0.8380282,0.1111085,0.9012576,0.9703919,0.01041228
sa12,0.9794348,0.8979779,0.1649454,1.264321,0.9186745,0.03454451
sa01,0.5209647,0.8653493,0.163863,1.050316,0.8243725,0.01746107
sa06,0.4698555,0.8498264,0.1066645,0.7440591,0.9838107,0.006959819
sa27,0.8882064,0.8411458,0.111109,0.9962361,0.7807235,0.005073514
sa17,0.9104721,0.8810764,0.1012635,0.899121,0.9832073,0.007222278
sa22,0.8407842,0.8236208,0.09574191,0.8684714,0.9723297,0.009286151
sa12,0.9787062,0.8992537,0.185564,1.248768,0.9227857,0.03538282
sa01,0.5195473,0.8070423,0.1162766,1.005403,0.8176142,0.01727626
sa06,0.7617952,0.9210884,0.06410039,0.6988846,0.9789251,0.006765719
sa27,0.9267459,0.7970443,0.09722012,1.207938,0.6934254,0.003396059
sa17,0.7424711,0.9450704,0.1639323,0.8115947,0.969837,0.007327719
sa22,0.9286756,0.8943279,0.1022702,0.8079209,0.9789892,0.009188432
sa12,0.9707645,0.8505952,0.1237084,1.397719,0.905663,0.03580827
sa27,0.5202561,0.6985222,0.03355718,0.9151066,0.8115792,0.004790496
sa01,0.7255661,0.8567708,0.09195152,0.895252,0.822454,0.01849411
sa06,0.4238359,0.8378378,0.04545209,0.85372,0.9771782,0.007359915
sa17,0.8463776,0.8543199,0.1430533,1.061352,0.9940774,0.009008023
sa22,0.9093045,0.8818959,0.09782339,0.6800347,0.9689219,0.009022712
sa12,0.9568399,0.8550083,0.1354137,1.247588,0.9143046,0.03496111
sa27,0.9080051,0.9036458,0.1052609,1.03733,0.7253402,0.005252058
sa06,0.6455256,0.8729064,0.06578734,1.130095,0.9801345,0.007066345
sa01,0.5620335,0.756338,0.1106273,0.9679323,0.8385076,0.01723161
sa17,0.5434821,0.8746479,0.1247337,1.238902,0.9959948,0.01002096
sa22,0.8248733,0.8732706,0.138295,0.9231221,0.9539215,0.01009558
sa27,0.8802426,0.8130952,0.1380245,0.7214613,0.8396047,0.005569852
sa06,0.7147169,0.8578089,0.1199978,0.540006,0.9856847,0.006723777
sa12,0.9640945,0.898775,0.1145804,1.263846,0.9163336,0.03499791
sa01,0.5439139,0.6956522,0.07178555,0.9188759,0.8322035,0.01853544
sa17,0.3903466,0.9222999,0.1249978,1.13095,0.9714636,0.005958324
sa22,0.8611359,0.8951049,0.09782339,0.598974,0.978946,0.01051206
sa27,0.8499746,0.8081597,0.08177196,0.8227446,0.8328936,0.005838044
sa06,0.8206719,0.9217002,0.03797253,0.8890862,0.9793009,0.007482131
sa12,0.9688693,0.8837853,0.1368392,1.396893,0.910826,0.03441803
sa02,0.4054117,0.7248634,0.1540045,1.078617,0.7835745,0.01910397
sa17,0.6946759,0.8719212,0.08974136,1.139847,0.9931073,0.007944034
sa27,0.9010858,0.7830986,0.1052609,1.006693,0.8004218,0.00533736
sa06,0.9363042,0.892517,0.06666456,0.9128788,0.9854683,0.0070625
sa22,0.8917547,0.8731884,0.1573007,1.150579,0.9796772,0.009947892
sa12,0.9732557,0.8612836,0.1458304,1.28134,0.9235899,0.03478115
sa02,0.8385527,0.7583333,0.1477348,0.9381661,0.8104557,0.02131172
sa17,0.7311316,0.8974359,0.1232855,0.7687919,0.996066,0.00853359
sa27,0.8886949,0.8140845,0.08610902,1.158093,0.7421208,0.005361213
sa06,0.7038464,0.8284977,0.115471,0.8452242,0.9861842,0.007052279
sa22,0.9060173,0.849635,0.1612875,0.8586655,0.9749626,0.01000637
sa17,0.9000827,0.8795775,0.09587156,0.8516126,0.9928819,0.008990912
sa12,0.973254,0.9228856,0.185564,1.235701,0.9179874,0.03664833
sa02,0.799387,0.7216146,0.2105239,0.9138119,0.8325467,0.02289952
sa27,0.8972642,0.8492611,0.08860534,1.036277,0.8162445,0.005310816
sa08,0.7472235,0.9314236,0.08333049,4.518638,0.6859406,0.005481407
sa22,0.8094729,0.9479167,0.08988507,0.9415985,0.9685791,0.009624318
sa17,0.7234453,0.8646035,0.1282589,0.8739189,0.9950457,0.008814063
sa27,0.9598561,0.7612847,0.0999977,0.6760745,0.8622941,0.004997592
sa08,0.689598,0.8090278,0.1025618,1.471614,0.6805045,0.003616473
sa02,0.4943947,0.6666667,0.0585564,1.146294,0.7777491,0.01898832
sa12,0.9701076,0.8605634,0.1030899,1.243308,0.9153406,0.03565269
sa22,0.8948354,0.8201161,0.08913885,0.8858556,0.9710192,0.009308249
sa27,0.6680064,0.6935961,0.06701088,0.8341401,0.8469236,0.005601861
sa08,0.7764767,0.8923611,0.08888629,2.48018,0.7319134,0.003545679
sa17,0.4928959,0.9153069,0.149998,1.098134,0.9802963,0.007803424
sa02,0.7225013,0.6961698,0.09354664,0.9368922,0.8041541,0.02012738
sa12,0.9605623,0.8987835,0.1578918,1.305878,0.9058616,0.03414417
sa27,0.8982066,0.7795775,0.1408429,0.7106285,0.7669755,0.005881926
sa22,0.9658554,0.9274939,0.1612875,0.8182033,0.9768813,0.009698403
sa08,0.6830215,0.7673611,0.08695384,0.9180417,0.771561,0.004545497
sa17,0.5750548,0.9277389,0.1249978,0.7718482,0.9958287,0.008815359
sa02,0.7419677,0.7835286,0.2187473,0.9615659,0.8246508,0.02293179
sa12,0.9764697,0.8412879,0.2061825,1.20524,0.9286533,0.03592999
sa27,0.8578276,0.9238539,0.1124977,0.8568522,0.7811223,0.005349105
sa08,0.7293376,0.84375,0.09195152,1.577552,0.7400117,0.005344123
sa22,0.9643291,0.8444936,0.115472,0.9102859,0.9720754,0.01082208
sa17,0.8792835,0.8561077,0.1647033,1.459729,0.9693517,0.006666173
sa02,0.6523259,0.7102865,0.1680531,1.077596,0.792178,0.01918985
sa12,0.9607518,0.8680124,0.1458304,1.209566,0.9270085,0.03608303
sa27,0.7923386,0.8732877,0.07999786,0.7459497,0.7912356,0.005428342
sa08,0.7295733,0.8611111,0.08333049,3.580858,0.6841759,0.005096671
sa22,0.9709371,0.9226306,0.1222196,1.151247,0.9580113,0.008636332
